dataname,vulnerability,function_name,match,true_answer_line,auditor_idx
CVE-2018-13722,Integer Overflow,mint,False,N/A,0
CVE-2018-13326,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-17968,Bad Randomness,random,True,2,0
CVE-2018-13132,Integer Overflow,mint,True,1,0
CVE-2018-13128,Integer Overflow,mint,True,2,0
CVE-2018-13777,Integer Overflow,mintToken,True,1,0
CVE-2018-12062,Integer Overflow,sell,False,N/A,0
CVE-2018-17071,Bad Randomness,fallback,True,1,0
CVE-2018-12083,Token Devalue,mintToken,True,1,0
CVE-2018-14001,Integer Overflow,batchTransfer,True,5,0
CVE-2018-13208,Integer Overflow,sell,False,N/A,0
CVE-2018-13325,Integer Overflow,_sell,False,N/A,0
CVE-2018-13129,Integer Overflow,mint,True,1,0
CVE-2018-12702,Access Control,approveAndCallcode,False,N/A,0
CVE-2020-17753,Access Control,addMeByRC,False,N/A,0
CVE-2018-12230,Wrong Logic,transferFrom,True,1,0
CVE-2018-12703,Access Control,approveAndCallcode,True,2,0
CVE-2018-14085,Wrong Logic,Not Provided,False,N/A,0
CVE-2018-18425,Token Devalue,doAirdrop,False,N/A,0
CVE-2018-17050,Integer Overflow,mintToken,False,N/A,0
CVE-2018-14006,Integer Overflow,multipleTransfer,True,2,0
CVE-2018-10468,Wrong Logic,transferFrom,True,1,0
CVE-2018-13075,Integer Overflow,mintToken,False,N/A,0
CVE-2018-11561,Integer Overflow,distributeToken,True,1,0
CVE-2018-10666,Access Control,setOwner,False,N/A,0
CVE-2018-13076,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13131,Integer Overflow,mint,True,1,0
CVE-2018-10705,Access Control,Not Provided,False,N/A,0
CVE-2018-17877,Bad Randomness,extcodesize,False,N/A,0
CVE-2018-13081,Integer Overflow,mintToken,True,1,0
CVE-2018-13071,Integer Overflow,mintToken,True,1,0
CVE-2018-13072,Integer Overflow,mintToken,True,1,0
CVE-2018-13088,Integer Overflow,mintToken,True,1,0
CVE-2018-13533,Integer Overflow,mintToken,False,N/A,0
CVE-2021-34273,Access Control,owned,False,N/A,0
CVE-2018-10299,Integer Overflow,batchTransfer,True,1,0
CVE-2018-13670,Integer Overflow,mintToken,True,2,0
CVE-2018-10376,Integer Overflow,transferProxy,True,1,0
CVE-2021-33403,Integer Overflow,transfer,True,4,0
CVE-2018-14003,Integer Overflow,batchTransfer,True,1,0
CVE-2018-11429,Integer Overflow,mint,True,1,0
CVE-2018-13070,Integer Overflow,mintToken,True,2,0
CVE-2018-13073,Integer Overflow,mintToken,True,1,0
CVE-2018-14715,Bad Randomness,endCoinFlip,False,N/A,0
CVE-2018-12885,Bad Randomness,randMod,True,3,0
CVE-2018-13084,Integer Overflow,mintToken,True,2,0
CVE-2018-13079,Integer Overflow,mintToken,True,1,0
CVE-2021-3006,Access Control,breed,False,N/A,0
CVE-2018-14086,Integer Overflow,setPrices,True,1,0
CVE-2018-19833,Access Control,owned,False,N/A,0
CVE-2018-14089,Wrong Logic,transferFrom,True,3,0
CVE-2018-15552,Bad Randomness,PayWinner,True,3,0
CVE-2019-15078,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-13085,Integer Overflow,mintToken,True,1,0
CVE-2018-14063,Integer Overflow,increaseApproval,True,4,0
CVE-2018-13087,Integer Overflow,mintToken,True,2,0
CVE-2018-12070,Integer Overflow,sell,False,N/A,0
CVE-2018-13698,Integer Overflow,mintTokens,True,4,0
CVE-2018-10706,Integer Overflow,transferMulti,True,5,0
CVE-2019-15079,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-14087,Integer Overflow,setPrices,True,4,0
CVE-2018-12067,Integer Overflow,sell,False,N/A,0
CVE-2018-18665,N/A,N/A,False,N/A,N/A
CVE-2021-34272,Access Control,owned,False,N/A,0
CVE-2018-13703,Integer Overflow,mintToken,False,N/A,0
CVE-2018-13069,Integer Overflow,mintToken,True,1,0
CVE-2021-3004,Wrong Logic,_deposit,False,N/A,0
CVE-2020-35962,Access Control,sellTokenForLRC,False,N/A,0
CVE-2018-13127,Integer Overflow,mint,True,1,0
CVE-2018-13041,Integer Overflow,mint,True,1,0
CVE-2018-13091,Integer Overflow,mintToken,True,1,0
CVE-2018-12068,Integer Overflow,sell,False,N/A,0
CVE-2018-14084,Integer Overflow,setPrices,False,N/A,0
CVE-2018-13327,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-11411,Wrong Logic,transferFrom,True,2,0
CVE-2018-17987,Bad Randomness,determineWinner,False,N/A,0
CVE-2018-12511,Integer Overflow,mintToken,True,3,0
CVE-2018-14005,Integer Overflow,transferAny,True,4,0
CVE-2018-11335,Integer Overflow,mint,True,1,0
CVE-2018-13089,Integer Overflow,mintToken,True,1,0
CVE-2018-13086,Integer Overflow,mintToken,True,2,0
CVE-2018-13228,Integer Overflow,sell,False,N/A,0
CVE-2018-12080,Token Devalue,mintToken,True,1,0
CVE-2018-17882,Integer Overflow,batchTransfer,True,4,0
CVE-2018-13126,Integer Overflow,mint,True,1,0
CVE-2018-12084,Token Devalue,mintToken,True,1,0
CVE-2018-13074,Integer Overflow,mintToken,True,1,0
CVE-2020-17752,Integer Overflow,Not Provided,False,N/A,0
CVE-2018-13078,Integer Overflow,mintToken,True,1,0
CVE-2019-15080,Typo Constructor,Not Provided,False,N/A,0
CVE-2018-13778,Integer Overflow,mintToken,True,2,0
CVE-2018-13082,Integer Overflow,mintToken,True,3,0
CVE-2018-12025,Wrong Logic,transferFrom,True,1,0
CVE-2018-12081,Token Devalue,mintToken,True,1,0
CVE-2018-17111,Access Control,onlyOwner,False,N/A,0
CVE-2018-13695,Integer Overflow,mint,True,1,0
CVE-2018-11687,Integer Overflow,distributeBTR,True,1,0
CVE-2018-11239,Integer Overflow,_transfer,True,2,0
CVE-2018-13202,Integer Overflow,sell,False,N/A,0
CVE-2018-13077,Integer Overflow,mintToken,True,1,0
CVE-2021-34270,Integer Overflow,mintToken,True,1,0
CVE-2018-12959,Access Control,approveAndCall,False,N/A,0
CVE-2018-13493,Integer Overflow,mintToken,True,1,0
CVE-2018-13068,Integer Overflow,mintToken,True,1,0
CVE-2018-11446,Integer Overflow,buy,False,N/A,0
CVE-2018-19832,Access Control,NETM,False,N/A,0
CVE-2018-13083,Integer Overflow,mintToken,True,1,0
CVE-2018-13090,Integer Overflow,mintToken,True,1,0
CVE-2018-13220,Integer Overflow,sell,False,N/A,0
CVE-2018-12063,Integer Overflow,sell,False,N/A,0
CVE-2018-13230,Integer Overflow,sell,False,N/A,0
CVE-2018-13092,Integer Overflow,mintToken,True,1,0
CVE-2018-12082,Token Devalue,mintToken,False,N/A,0
CVE-2018-13080,Integer Overflow,mintToken,True,3,0
CVE-2018-19831,Access Control,ToOwner,False,N/A,0
CVE-2018-13225,Integer Overflow,sell,False,N/A,0
CVE-2018-13189,Integer Overflow,mint,False,N/A,0
CVE-2018-12079,Token Devalue,mintToken,True,1,0
CVE-2018-19834,Access Control,quaker,False,N/A,0
CVE-2018-13783,Integer Overflow,mintToken,True,1,0
CVE-2018-13221,Integer Overflow,sell,True,1,0
CVE-2018-12975,Bad Randomness,random,False,N/A,0
CVE-2018-12454,Bad Randomness,_addguess,False,N/A,0
CVE-2018-13782,Integer Overflow,mintToken,True,1,0
CVE-2018-13779,Integer Overflow,mintToken,True,1,0
CVE-2018-13836,Integer Overflow,multiTransfer,True,2,0
CVE-2018-14576,Integer Overflow,mintTokens,True,1,0
CVE-2018-13625,Integer Overflow,mintlvlToken,False,N/A,0
CVE-2018-19830,Access Control,UBSexToken,False,N/A,0
CVE-2018-10944,Access Control,request_dividend,True,1,0
CVE-2018-14002,Integer Overflow,distribute,True,4,0
CVE-2018-13113,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-14004,Integer Overflow,transfer_tokens_after_ICO,True,2,0
CVE-2018-12078,Token Devalue,mintToken,False,N/A,0
CVE-2018-13144,Integer Overflow,Multiple Functions,False,N/A,0
CVE-2018-13227,Integer Overflow,sell,False,N/A,0

Top k hit rate:,0.58,(79/136)
